IdPelicula;Título;Director;Intérpretes;Género;Estreno;Cartel
1;El cielo Abierto;Miquel Albadalejo;Sergi López,Maria Jose Alfonso,...;Comedia;2001;
2;La voz de su amo;Emilio Martínez-Láza;Eduard Fernández,Silvia Abascal,...;Intriga;2001;
3;Silencio Roto;Montxo Armendáriz;Lucía Jimenez,Juan Diego Botto,...;Drama;2001;
4;Plenilunio;Imanol Uribe;Miguel Ángel Solá,Charo López,...;Intriga;2000;
5;El bola;Achero Mñas;Alberto Jiménez,Juan José Ballesta,...;Drama;2000;
6;Segunda piel;Gerardo Vera;Ariadna Gil,Jordi Mollá,Javier Bardem,...;Drama;2000;
7;Solas;Benito Zambrano;Marí Galiana,Ana Fernández,Carlos Álvarez,...;Drama;1999;
8;La ciudad de los prodigios;Mario Camus;Emma Suarez,Olivier Martínez,...;Drama;1999;
9;Lágrimas negras;R. Franco,F. Bauluz;Ariadna Gil,Fele Martínez,...;Drama;1999;
10;Todo sobre mi madre;Pedro Almodóvar;Cecilia Roth, Marisa Paredes,Penélope Cruz,...;Drama;1999;
11;Entre las piernas;Manuel Gómez Pereira;Victoria Abril,Javier Bardem,Carmelo Gómez,...;Intriga;1999;
12;Muertos de risa;Alex de la Iglesia;Santiago Segura,El Gran Wyoming,Alex Angulo,...;Comedia;1999;
13;El abuelo;Jose Luis Garci;Fernando Fernán Gómez,Rafael Alonso,...;Drama;1998;
14;Cosas que dejé en la Habana;Manuel Gutiérrez Ara;Violeta Rodríguez,Jorge Perugorría,...;Drama;1998;
15;Barrio;Fernando León;Críspulo Cabezas,Tomás Benito,...;Drama;1998;
16;El milagro de P. Tinto;Guillermo Fesser;Luis Ciges,Silvia Casanova,Carlos Soto,...;Comedia;1998;
17;Extraños;Imanol Uribe;Carmelo gómez,María Casal,...;Intriga;1998;
18;La niña de tus ojos;Fernando Trueba;Penélope Cruz,Antonio Resines, Neus Asensi,...;Comedia;1998;
19;Los amantes del circulo Polar;Julio Médem;Najwa Nimri,Fele Martínez,...;Drama;1998;
20;La mirada del otro;Vicente Aranda;Laura Morante, José Coronado,...;Drama;1998;
21;Airbag;Juanma Bajo;Karra Elejalde, Fernando Guillén Cuervo,...;Comedia;1997;
22;Secretos del corazón;Montxo Armendáriz;Silvia Munt,Carmelo Gómez,...;Drama;1997;
23;El perro del hortelano;Pilar Miró;Emma Suarez,Carmelo Gómez,Ana Duato,...;Drama;1996;
24;Libertarias;Vicente Aranda;Ana Belén, Ariadna Gil,Victoria Abril,...;Drama;1996;
25;Más allá del jardín;Pedro Olea;Concha Velasco,Fernando Guillén,..;Drama;1996;
26;Tesis;Alejandro Amenábar;Eduardo Noriega, Rafael Martínez,...;Intriga;1996;
27;Tierra;Julio Médem;Carmelo Gómez, Emma Suarez,...;Drama;1996;
28;El dia de la bestia;Alex de la Iglesia;Alex Angulo, Santiago Segura,...;Acción;1995;
